statecode,countycode,v051_rawvalue,v051_flag_CT
29,195,23325,
29,197,4069,
29,199,4698,
29,201,37957,
29,203,7275,
29,205,5926,
29,207,28438,
29,209,32630,
29,211,5750,
29,213,56744,
29,215,25715,
29,217,19787,
29,219,38478,
29,221,23583,
29,223,10820,
29,225,42041,
29,227,1872,
29,229,19505,
29,510,279695,
30,000,1137233,
30,001,10006,
30,003,12796,
30,005,6903,
30,007,8302,
30,009,11498,
30,011,1399,
30,013,84523,
30,015,5880,
30,017,11964,
30,019,1625,
30,021,8731,
30,023,9811,
30,025,2946,
30,027,11862,
30,029,114527,
30,031,126984,
30,033,1181,
30,035,13503,
30,037,863,
30,039,3602,
30,041,16065,
30,043,13304,
30,045,2111,
30,047,33403,
30,049,75129,
30,051,1934,
30,053,22184,
30,055,1717,
30,057,9753,
30,059,2065,
30,061,5195,
30,063,122546,
30,065,5452,
30,067,18074,
30,069,525,
30,071,4214,
30,073,6078,
30,075,1734,
30,077,7120,
30,079,1112,
30,081,48187,
30,083,11028,
30,085,10197,
30,087,8194,
30,089,13895,
30,091,3448,
30,093,36134,
30,095,9450,
30,097,3757,
30,099,6444,
30,101,5153,
30,103,739,
30,105,7434,
30,107,2058,
30,109,911,
30,111,171583,
31,000,2005465,
31,001,31196,
31,003,6358,
31,005,423,
31,007,665,
31,009,454,
31,011,5354,
31,013,10703,
31,015,1700,
31,017,2877,
31,019,51156,
31,021,6727,
31,023,8439,
31,025,27492,
31,027,8262,
31,029,3764,
31,031,5558,
31,033,9602,
31,035,6103,
31,037,10826,
31,039,8952,
31,041,10487,
31,043,21335,
31,045,8003,
31,047,24554,
31,049,1892,
31,051,5526,
31,053,37884,
31,055,601158,
31,057,1581,
31,059,5512,
31,061,2817,
31,063,2536,
31,065,4468,
31,067,21687,
31,069,1804,
