statecode,countycode,v168_flag_CT,v168_numerator,v168_denominator,v168_rawvalue,v168_cilow,v168_cihigh
08,125,,5358,6578,0.8145332927941623,0.7858799697711435,0.8431866158171811
09,000,,2338239,2554584,0.9153110643455059,0.9133452431910795,0.9172768854999324
09,001,U,,,,,
09,003,U,,,,,
09,005,U,,,,,
09,007,U,,,,,
09,009,U,,,,,
09,011,U,,,,,
09,013,U,,,,,
09,015,U,,,,,
09,110,A,622824,681319,0.9141444756421001,0.9105964952176435,0.9176924560665567
09,120,A,193827,222251,0.8721085619412287,0.8632236254905082,0.8809934983919491
09,130,A,125363,131296,0.9548120277845479,0.9485901661596272,0.9610338894094685
09,140,A,295394,326360,0.9051170486579238,0.8996692509192996,0.9105648463965479
09,150,A,66337,71710,0.9250732115465068,0.9174723311863192,0.9326740919066944
09,160,A,80155,85120,0.941670582706767,0.9324972236310111,0.9508439417825229
09,170,A,368222,399673,0.9213081694285078,0.9166470823925009,0.9259692564645147
09,180,A,184063,198368,0.9278865542829489,,
09,190,A,402054,438487,0.9169120179161526,0.912186485121629,0.9216375507106762
10,000,,662711,723044,0.9165569453587886,0.9133115941025112,0.9198022966150661
10,001,,115066,126457,0.9099219497536712,0.9013393582045651,0.9185045413027774
10,003,,372982,402879,0.925791614852102,0.921052990176324,0.93053023952788
10,005,,174663,193708,0.9016819129824272,0.8949976715632875,0.9083661544015669
11,000,,453024,488919,0.9265829309149368,0.9219518509562621,0.9312140108736116
11,001,,453024,488919,0.9265829309149368,0.9219518509562621,0.9312140108736116
12,000,,14597205,16228400,0.8994851618150896,0.8982749209159322,0.9006954027142471
12,001,,164816,174336,0.9453928046989721,0.9397903050995935,0.9509953042983508
12,003,,16569,19020,0.8711356466876972,0.8498745696456739,0.8923967237297205
12,005,,121510,132943,0.9140007371580301,0.9047475049499074,0.9232539693661528
12,007,,16769,20118,0.8335321602544985,0.8084531773379088,0.8586111431710882
12,009,,442411,474168,0.9330258473789881,0.9284458343663713,0.9376058603916049
12,011,,1282789,1418380,0.9044043204218898,0.901258534759567,0.9075501060842126
12,013,,8155,9871,0.8261574308580691,0.8005883868781938,0.8517264748379445
12,015,,154958,167479,0.925238388096418,0.9175219527933859,0.9329548233994501
12,017,,118849,129981,0.9143567136735369,0.9067696630055947,0.9219437643414791
12,019,,146385,158246,0.9250470785991431,0.9163402950128764,0.9337538621854099
12,021,,277348,308251,0.8997472838693142,0.892253679293683,0.9072408884449454
12,023,,43207,50225,0.8602687904430065,0.8403601133156388,0.8801774675703743
12,027,,19264,26215,0.7348464619492657,0.702439726312158,0.7672531975863734
12,029,,10829,12792,0.8465447154471545,0.813955360993634,0.879134069900675
12,031,,643396,704962,0.9126676331490208,0.9078075769395694,0.9175276893584722
12,033,,202329,222619,0.9088577345150234,0.9018711361404751,0.9158443328895717
12,035,,91914,98433,0.9337722105391485,0.9238176632322681,0.9437267578460289
12,037,,8344,9889,0.8437658003842653,0.8139573722939194,0.8735742284746112
12,039,,25149,30782,0.817003443570918,0.7926882810957798,0.8413186060460562
12,041,,11627,13395,0.8680104516610676,0.8385218665454818,0.8974990367766534
12,043,,7433,9875,0.7527088607594937,0.7097904944208894,0.7956272270980981
12,045,,10174,11974,0.8496742943043261,0.8201710635782025,0.8791775250304497
12,047,,8030,9839,0.816139851610936,0.7856072793078513,0.8466724239140208
12,049,,12825,16675,0.7691154422788605,0.7374573633417695,0.8007735212159516
12,051,,18497,27183,0.6804620534893132,0.6406443366327437,0.7202797703458828
12,053,,140324,155161,0.9043767441560702,0.8952317237116246,0.9135217646005157
12,055,,71204,82181,0.8664289799345347,0.8526093595264755,0.8802486003425939
12,057,,946713,1054856,0.897480793586992,0.8935338650949546,0.9014277220790293
12,059,,12429,14200,0.8752816901408451,0.85046406566992,0.9000993146117702
12,061,,121257,131802,0.9199936268038421,0.9110856283839199,0.9289016252237643
12,063,,29601,35299,0.8385789965721409,0.8183703554005316,0.8587876377437501
12,065,,9970,11276,0.8841787868038311,0.8635643500724905,0.9047932235351717
12,067,,4937,6008,0.8217376830892144,0.7824954574118876,0.8609799087665411
12,069,,281113,307619,0.9138349711818841,0.9081681460892317,0.9195017962745364
12,071,,558327,618547,0.9026428064480144,0.8974571308694199,0.9078284820266089
