statecode,countycode,v136_numerator,v136_denominator,v136_rawvalue,v136_flag_CT,v136_cilow,v136_cihigh
04,023,2675,16650,0.16066066066066065,,0.1328096630233886,0.1885116582979327
04,025,16895,106540,0.15857893748826732,,0.14610735293298627,0.17105052204354837
04,027,16255,74680,0.2176620246384574,,0.20078560834700146,0.23453844092991336
05,000,160175,1171695,0.13670366434951076,,0.133299966991677,0.1401073617073445
05,001,820,6560,0.125,,0.09018359078836058,0.15981640921163942
05,003,950,7195,0.1320361362056984,,0.0947125318653144,0.16935974054608238
05,005,2115,19020,0.111198738170347,,0.0907506954218201,0.1316467809188739
05,007,10820,104165,0.10387366197859166,,0.09397149358221978,0.11377583037496354
05,009,1530,15170,0.1008569545154911,,0.07421225527706782,0.1275016537539144
05,011,510,3585,0.14225941422594143,,0.10269532926275811,0.18182349918912477
05,013,70,1500,0.04666666666666667,,0.008142289815972988,0.08519104351736034
05,015,1830,11355,0.16116248348745046,,0.12986394226891448,0.19246102470598644
05,017,600,4010,0.14962593516209477,,0.10915365743412694,0.1900982128900626
05,019,1225,7955,0.1539912005028284,,0.12027045711851458,0.18771194388714224
05,021,655,6065,0.1079967023907667,,0.07981166318044985,0.13618174160108354
05,023,1070,10625,0.10070588235294117,,0.07851848217301399,0.12289328253286835
05,025,160,2740,0.058394160583941604,,0.031191522230632672,0.08559679893725053
05,027,1185,7825,0.15143769968051118,,0.1120373301273538,0.19083806923366858
05,029,855,8420,0.10154394299287411,,0.07370459709834726,0.12938328888740097
05,031,5910,42350,0.13955135773317592,,0.12125837047001449,0.15784434499633734
05,033,2885,22730,0.12692476902771668,,0.10593435107443233,0.14791518698100103
05,035,3090,18585,0.16626311541565778,,0.142948764259634,0.18957746657168156
05,037,985,6565,0.15003808073115005,,0.11143858854959737,0.18863757291270272
05,039,200,2290,0.08733624454148471,,0.046542813535909694,0.12812967554705973
05,041,750,4605,0.16286644951140064,,0.11655934874223,0.20917355028057127
05,043,945,6915,0.13665943600867678,,0.09980443565103515,0.17351443636631841
05,045,7980,47395,0.168372191159405,,0.15047453764604093,0.18626984467276905
05,047,805,6705,0.12005965697240865,,0.08201897528004023,0.15810033866477707
05,049,640,4780,0.13389121338912133,,0.09118985072449556,0.1765925760537471
05,051,6780,43220,0.15687181860249885,,0.13661635498547792,0.1771272822195198
05,053,610,6855,0.08898614150255288,,0.058625020332594306,0.11934726267251144
05,055,2430,17740,0.13697857948139797,,0.1123071010861397,0.16165005787665623
05,057,1050,7355,0.14276002719238612,,0.09744164321290591,0.18807841117186633
05,059,1495,11900,0.12563025210084033,,0.09625927670181791,0.15500122749986275
05,061,680,5225,0.13014354066985645,,0.08540719307718816,0.17487988826252474
05,063,2305,14415,0.15990287894554284,,0.1265046192184514,0.19330113867263427
05,065,560,4850,0.1154639175257732,,0.08435401750676616,0.14657381754478024
05,067,675,6115,0.11038430089942763,,0.07274559024526159,0.14802301155359368
05,069,3535,24280,0.14559308072487645,,0.11968183482939947,0.17150432662035342
05,071,1570,9900,0.15858585858585858,,0.12274030545954717,0.19443141171217
05,073,200,2545,0.07858546168958742,,0.04732777998869887,0.10984314339047598
05,075,550,6360,0.08647798742138364,,0.05972241583142414,0.11323355901134315
05,077,495,2585,0.19148936170212766,,0.11470488759105285,0.26827383581320247
05,079,355,3380,0.10502958579881656,,0.06514264444350126,0.14491652715413186
05,081,450,4735,0.09503695881731784,,0.05879715085039869,0.131276766784237
05,083,830,8405,0.09875074360499703,,0.07696576993400911,0.12053571727598494
05,085,2850,27580,0.10333575054387237,,0.08802140548311012,0.11865009560463462
05,087,675,6250,0.108,,0.0718236298967444,0.1441763701032556
05,089,980,7140,0.13725490196078433,,0.1040791004031483,0.17043070351842035
05,091,2455,15865,0.15474314528837063,,0.129324758699724,0.18016153187701725
05,093,2060,15005,0.1372875708097301,,0.10979335006847146,0.1647817915509887
05,095,520,2825,0.184070796460177,,0.1208159378880805,0.2473256550322735
05,097,350,3590,0.09749303621169916,,0.06650492576573849,0.12848114665765983
05,099,505,3155,0.1600633914421553,,0.10279508844725796,0.21733169443705266
05,101,445,2905,0.153184165232358,,0.09730394378713211,0.2090643866775839
05,103,980,8460,0.11583924349881797,,0.08785465102178958,0.14382383597584636
05,105,355,3830,0.0926892950391645,,0.05794427466897483,0.12743431540935415
05,107,1020,6180,0.1650485436893204,,0.12883243177244283,0.20126465560619797
05,109,460,4005,0.11485642946317104,,0.0760355380931531,0.15367732083318897
05,111,970,9080,0.10682819383259912,,0.08098013810944012,0.13267624955575813
05,113,970,7715,0.12572909915748542,,0.09419488934696199,0.15726330896800886
05,115,2855,23685,0.12054042643023011,,0.09897179076456653,0.1421090620958937
05,117,210,3315,0.06334841628959276,,0.03594075419958741,0.0907560783795981
05,119,27415,167770,0.1634082374679621,,0.15252756000786294,0.17428891492806126
05,121,800,7190,0.11126564673157163,,0.0786718975149606,0.14385939594818264
05,123,1200,8100,0.14814814814814814,,0.11446383084714248,0.1818324654491538
05,125,5285,48465,0.10904776642938203,,0.0945519205056281,0.12354361235313596
05,127,490,3900,0.12564102564102564,,0.08775719975457827,0.163524851527473
05,129,315,2950,0.10677966101694915,,0.06670509985108193,0.14685422218281635
05,131,7645,51860,0.1474161203239491,,0.1296869882945515,0.1651452523533467
05,133,950,5545,0.17132551848512173,,0.11654714313269812,0.22610389383754534
05,135,850,6900,0.12318840579710146,,0.09229013749674832,0.15408667409745458
05,137,675,4730,0.1427061310782241,,0.09058046743253406,0.19483179472391415
05,139,2355,14940,0.1576305220883534,,0.13149192445286212,0.1837691197238447
05,141,880,6835,0.12874908558888076,,0.09487701215335595,0.16262115902440558
05,143,14815,93780,0.15797611431008743,,0.14498576508367167,0.1709664635365032
05,145,3380,28790,0.1174018756512678,,0.10116055208801515,0.13364319921452048
05,147,275,2625,0.10476190476190476,,0.06890591049121736,0.14061789903259217
05,149,1030,7750,0.1329032258064516,,0.10283717861784533,0.1629692729950579
06,000,3471205,13315820,0.2606827818339389,,0.2593197468957213,0.2620458167721565
