statecode,countycode,v161_numerator,v161_denominator,v161_rawvalue,v161_otherdata1,v161_cilow,v161_cihigh,v161_sourceflag,v161_flag_CT
08,049,20,79512,23.382067111036786,25.15343595935205,13.857694847992663,36.95374665189029,,
08,051,22,86772,22.841987567598178,25.353800765223802,14.139550320255335,34.91640439801874,,
08,053,,,,,,,,
08,055,14,34928,43.419105479195636,40.082455336692625,21.674661017112268,77.68877329587713,,
08,057,,,,,,,,
08,059,618,2893906,19.731922850398487,21.35522024557812,18.134302390311284,21.32954331048569,,
08,061,,,,,,,,
08,063,17,35106,48.35759580536058,48.42477069446818,27.06537928260432,79.75850028823109,,
08,065,12,37455,30.149591998861997,32.038446135362435,15.050567697501082,53.94594826199475,,
08,067,60,282651,19.646938217708094,21.227591623592346,14.841085989144508,25.513183482608948,,
08,069,380,1835084,19.559242607979527,20.707498948277024,17.54144375156532,21.577041464393734,,
08,071,21,72246,25.12965657325818,29.06735320986629,14.638951010751406,40.235014521914145,,
08,073,,,,,,,,
08,075,29,105658,24.703680254878275,27.447046129966495,16.279880950213602,35.94255777746051,,
08,077,243,792515,29.35833020580258,30.661880216778233,25.517523009379527,33.19913740222564,,
08,079,,,,,,,,
08,081,27,65975,41.351039243257574,40.92459264873058,27.01187171300353,60.58885334128418,,
08,083,42,132423,33.590362252125615,31.7165447090007,23.770539526483677,46.10539658771156,,
08,085,86,219263,37.42462347738913,39.22230380866813,29.334930668768664,47.0558452964429,,
08,087,35,147012,25.824183410347967,23.807580333578212,17.883997724150507,36.08670789365187,,
08,089,27,91225,29.52130414930015,29.59714990408331,19.104631502581235,43.57926853007767,,
08,091,,,,,,,,
08,093,34,91047,36.142200050389,37.34335013784089,24.01622945831648,52.235542020711414,,
08,095,,,,,,,,
08,097,15,85401,14.541774279911868,17.564197140548707,7.950123316581914,24.39862630531308,,
08,099,12,59664,21.90482306038052,20.112630732099756,10.934808749136097,39.193779191043106,,
08,101,255,848277,30.106758859692047,30.060935284111203,26.312049644234598,33.901468075149495,,
08,103,10,32563,32.95547577610891,30.70970119460738,15.803431601241893,60.60629330567351,,
08,105,14,56349,24.14856359809425,24.84516140481641,12.85809307323017,41.29477920311342,,
